method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA,100,200,5,0.5,1,5,4.7957926186404,0.005724454692385627,31.451383984389125,0.19476702970827106,0.7059875,0.0017831718101589244,0.0823,0.00439433749502721,0.31429037237855345,NA
EFA,100,200,5,0.5,2,0.1,0.17326111909036385,7.28222866556452e-4,2.5186161833184797,0.029227842301570613,0.4403625,0.0045957577811861815,0,0,0.39702942972941857,NA
EFA,100,200,5,0.5,2,1,0.9096689895689575,0.0011397389153553123,13.173721290649627,0.12821776292484843,0.6709125,0.0021091472707224497,0.0068000000000000005,0.0012360739411049761,0.3671483697072076,NA
EFA,100,200,5,0.5,2,5,4.764738120165296,0.0062079103307817836,28.340452262786346,0.15642206990189028,0.7052,0.001745549897437608,0.11745,0.003095691858180992,0.2807092894516951,NA
EFA,100,200,5,0.8,0,0.1,0.1143674216203369,9.585897657800792e-4,4.676876751443071,0.026600032495625092,0.4118095238095238,0.003064779653000481,0,0,0.1999873104849263,NA
EFA,100,200,5,0.8,0,1,0.9145756063617017,0.0012768300435025196,10.598283900211856,0.0651851759786893,0.6669880952380952,0.0018687105819529808,0,0,0.19817707611293586,NA
EFA,100,200,5,0.8,0,5,4.780079776352187,0.006346922360521255,17.33990757627175,0.053573999781192594,0.7693214285714286,0.001941965834913014,0.096125,0.00338242729322293,0.12425659215071615,NA
EFA,100,200,5,0.8,1,0.1,0.1129586365237303,8.760351306462353e-4,4.659848206078868,0.02225463706415639,0.4095952380952381,0.0030702929766413577,0,0,0.19744375635267009,NA
EFA,100,200,5,0.8,1,1,0.913478154953117,0.0014426704304104205,10.801065049236982,0.07415875237775117,0.6681428571428571,0.0017491543637176276,0,0,0.20591474873109414,NA
EFA,100,200,5,0.8,1,5,4.7819990315843866,0.00632645744493132,17.33362079953244,0.06278387972189024,0.7657380952380952,0.001909459395155987,0.0905625,0.0035103281505790133,0.1271204021662913,NA
EFA,100,200,5,0.8,2,0.1,0.11433607928626717,8.888877561820252e-4,4.682238628201766,0.021704130313126593,0.4111666666666667,0.002961158769224726,0,0,0.19886806808373578,NA
EFA,100,200,5,0.8,2,1,0.9115362805588989,0.0014954845248312673,10.907181259937264,0.07025228732837441,0.667952380952381,0.0017982707488469686,0,0,0.1960478927847662,NA
EFA,100,200,5,0.8,2,5,4.7759357583448665,0.0062886706690242905,17.37373272576633,0.05496619288859626,0.7693214285714286,0.0016933254954150608,0.0944375,0.0037844534702096443,0.13046923594858562,NA
EFA,500,50,3,0.2,0,0.1,0.17317343188700504,3.7292894828308884e-4,0.41104663779151723,0.005088062477836157,0.72925,0.015366133396386861,0.05836363636363636,0.004131125655544946,0.17674797500716014,NA
EFA,500,50,3,0.2,0,1,0.973613883287135,0.001012253670300088,0.4677852139542337,0.005920208111994929,0.7895,0.018850086407646984,0.12145454545454545,0.00683914133827695,0.532524238512735,NA
EFA,500,50,3,0.2,0,5,5.024295440137949,0.004990448526661506,3.3947711062703503,0.0553029193396644,0.72925,0.015731550842786986,0.259,0.006000382601820299,0.28258014046686414,NA
EFA,500,50,3,0.2,1,0.1,0.1937237504636294,2.486021961592042e-4,0.42405762261276675,0.005601551090805508,0.6375,0.009946193627552587,0.007363636363636363,8.638417425315308e-4,0.8198136786656647,NA
EFA,500,50,3,0.2,1,1,0.9640303934772336,8.10907517896479e-4,0.8099310840094841,0.017953410357919353,0.579,0.00810848165487687,0.07063636363636364,0.0029686707621421797,0.7215941315548595,NA
EFA,500,50,3,0.2,1,5,4.986304391120363,0.004744862013512348,3.0224426320684668,0.03199561234128926,0.60375,0.01083260487061299,0.27,0.004352181168673014,0.43557260690453325,NA
EFA,500,50,3,0.2,2,0.1,0.19875214551343087,2.5670796428966364e-4,0.6388439484440421,0.007036484562996351,0.5675,0.013759753198397423,0.018363636363636363,0.0024987850791986983,0.9024059761769766,NA
EFA,500,50,3,0.2,2,1,0.9564216904685852,9.224257219635826e-4,1.028037637006432,0.009886952469585045,0.6125,0.012296320382516672,0.14172727272727273,0.003590377266472467,0.5533169683500538,NA
EFA,500,50,3,0.2,2,5,4.9494199644420656,0.0048216909493248375,2.88266489587993,0.02853644744618587,0.60725,0.010045948728646083,0.3089090909090909,0.0039298039660973245,0.3306059988904975,NA
EFA,500,50,3,0.5,0,0.1,0.11123994538243162,3.4785274193784813e-4,0.19418225134348158,0.002071676761666499,0.4303,0.01978595308277919,0.3898,0.039845656772556325,0.32043147434511265,NA
EFA,500,50,3,0.5,0,1,0.9874866720895197,9.58593298078738e-4,0.8410755295088949,0.008932566708777807,0.6074,0.01973236074589304,0.4514,0.04054203953548673,0.2842172433181868,NA
EFA,500,50,3,0.5,0,5,5.105087197880759,0.005170056699682684,3.6493685185505567,0.03778690964319754,0.6219,0.018112273309677185,0.33740000000000003,0.03571113625362896,0.3000075245840464,NA
